Year,FWI
1.960000000000000000e+03,1.612810469193532725e+01
1.961000000000000000e+03,1.360031441673444519e+01
1.962000000000000000e+03,1.495747596821147773e+01
1.963000000000000000e+03,1.768178639840291311e+01
1.964000000000000000e+03,1.713511598029993266e+01
1.965000000000000000e+03,1.164544424024717806e+01
1.966000000000000000e+03,1.570017683505117745e+01
1.967000000000000000e+03,1.369728558340460367e+01
1.968000000000000000e+03,1.399356229641288429e+01
1.969000000000000000e+03,1.522119700387674257e+01
1.970000000000000000e+03,1.488808714232175490e+01
1.971000000000000000e+03,1.770854701392594777e+01
1.972000000000000000e+03,1.652207545029398617e+01
1.973000000000000000e+03,1.544335003298565567e+01
1.974000000000000000e+03,1.628772646549084868e+01
1.975000000000000000e+03,1.626734865474853464e+01
1.976000000000000000e+03,1.878815814631521164e+01
1.977000000000000000e+03,1.558968347246839770e+01
1.978000000000000000e+03,1.682613540330180157e+01
1.979000000000000000e+03,1.469180852139654903e+01
1.980000000000000000e+03,1.149402036833184404e+01
1.981000000000000000e+03,1.810723719088071704e+01
1.982000000000000000e+03,1.872887239771901235e+01
1.983000000000000000e+03,1.571566995918711562e+01
1.984000000000000000e+03,2.193950924797521296e+01
1.985000000000000000e+03,1.469126865080247235e+01
1.986000000000000000e+03,1.789151703460289156e+01
1.987000000000000000e+03,1.762563229994833236e+01
1.988000000000000000e+03,2.126555842871691482e+01
1.989000000000000000e+03,2.133871753980056951e+01
1.990000000000000000e+03,1.890989485139383319e+01
1.991000000000000000e+03,1.955632503920434928e+01
1.992000000000000000e+03,1.722442850473977316e+01
1.993000000000000000e+03,1.523840706355214536e+01
1.994000000000000000e+03,1.870417570134769392e+01
1.995000000000000000e+03,1.991269793820796252e+01
1.996000000000000000e+03,2.226058136145544353e+01
1.997000000000000000e+03,2.240475969756882080e+01
1.998000000000000000e+03,1.942534636518409386e+01
1.999000000000000000e+03,1.979539449884932623e+01
2.000000000000000000e+03,1.850289406986581753e+01
2.001000000000000000e+03,1.795996412564204903e+01
2.002000000000000000e+03,1.758745961874997477e+01
2.003000000000000000e+03,2.510155079046357685e+01
2.004000000000000000e+03,2.038069563649669291e+01
2.005000000000000000e+03,2.072385139677762922e+01
2.006000000000000000e+03,1.929440927990014742e+01
2.007000000000000000e+03,2.355498071166381990e+01
2.008000000000000000e+03,1.897220430488409448e+01
2.009000000000000000e+03,2.197451943957205955e+01
2.010000000000000000e+03,2.080906687761265061e+01
2.011000000000000000e+03,2.357380499571852539e+01
2.012000000000000000e+03,2.197838972486225373e+01
2.013000000000000000e+03,2.083873563175517418e+01
