Year,FWI
1.960000000000000000e+03,4.812172681831620835e+00
1.961000000000000000e+03,4.194121793174962143e+00
1.962000000000000000e+03,4.735914123868272263e+00
1.963000000000000000e+03,4.963515688921914304e+00
1.964000000000000000e+03,6.432703814662339425e+00
1.965000000000000000e+03,5.349230651559858885e+00
1.966000000000000000e+03,7.872405882108240327e+00
1.967000000000000000e+03,7.119396549552448938e+00
1.968000000000000000e+03,8.159519548028550062e+00
1.969000000000000000e+03,8.375314812261294151e+00
1.970000000000000000e+03,9.731053968522486386e+00
1.971000000000000000e+03,8.469929645251173866e+00
1.972000000000000000e+03,9.838791397993245980e+00
1.973000000000000000e+03,1.030797282266579273e+01
1.974000000000000000e+03,1.156688472116771926e+01
1.975000000000000000e+03,1.095005436634298412e+01
1.976000000000000000e+03,1.191378589622478223e+01
1.977000000000000000e+03,1.206107079103931490e+01
1.978000000000000000e+03,1.302110687335779637e+01
1.979000000000000000e+03,1.379140760685791101e+01
1.980000000000000000e+03,1.344969041139354005e+01
1.981000000000000000e+03,1.507236185491980685e+01
1.982000000000000000e+03,1.545079536029639833e+01
1.983000000000000000e+03,1.575124716945093439e+01
1.984000000000000000e+03,1.645042797463220552e+01
1.985000000000000000e+03,1.615813607041283362e+01
1.986000000000000000e+03,1.693855488724067726e+01
1.987000000000000000e+03,1.703211528287046406e+01
1.988000000000000000e+03,1.786605596018699060e+01
1.989000000000000000e+03,1.876517773336909300e+01
1.990000000000000000e+03,1.865416962413734581e+01
1.991000000000000000e+03,1.930162323657201284e+01
1.992000000000000000e+03,1.965641364994020179e+01
1.993000000000000000e+03,2.007739717925063871e+01
1.994000000000000000e+03,2.066437693458158975e+01
1.995000000000000000e+03,2.149366770054054854e+01
1.996000000000000000e+03,2.144134482568236066e+01
1.997000000000000000e+03,2.261720784890854574e+01
1.998000000000000000e+03,2.382990108855493361e+01
1.999000000000000000e+03,2.387102208028866812e+01
2.000000000000000000e+03,2.390408222381919146e+01
2.001000000000000000e+03,2.405618551795758009e+01
2.002000000000000000e+03,2.462642085312458207e+01
2.003000000000000000e+03,2.634622730051387407e+01
2.004000000000000000e+03,2.602540387738801542e+01
2.005000000000000000e+03,2.618150217671532332e+01
2.006000000000000000e+03,2.709545774233373194e+01
2.007000000000000000e+03,2.855012756823942155e+01
2.008000000000000000e+03,2.806007947624081567e+01
2.009000000000000000e+03,2.880860155485370910e+01
2.010000000000000000e+03,2.915008515997791250e+01
2.011000000000000000e+03,2.932387507675323945e+01
2.012000000000000000e+03,2.942874090098893092e+01
2.013000000000000000e+03,3.032532863879356100e+01
